MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
MAYO,Basura,9,MONCLOA,58.08,Mueble,500,Envase,15.9,Papel_y_Carton,252,Bolsas_caninas
MAYO,Basura,10,LATINA,90.04,Mueble,2.2,Envase,12.84,Papel_y_Carton,366.2,Bolsas_caninas
MAYO,Basura,15,CIUDAD LINEAL,112.313,Mueble,40,Envase,28.642,Papel_y_Carton,530.4,Bolsas_caninas
MAYO,Basura,16,HORTALEZA,163.79,Mueble,70,Envase,38.556,Papel_y_Carton,487,Bolsas_caninas
MAYO,Basura,20,SAN BLAS,121.672,Mueble,60,Envase,26.438,Papel_y_Carton,482.8,Bolsas_caninas
MAYO,Basura,21,BARAJAS,70.196,Mueble,50,Envase,16.524,Papel_y_Carton,414,Bolsas_caninas
MAYO,Basura,13,PUENTE DE VALLECAS ,25.08,Mueble,380,Envase,4.662,Papel_y_Carton,591.1,Bolsas_caninas
MAYO,Basura,18,VILLA DE VALLECAS ,38.34,Mueble,140,Envase,1.998,Papel_y_Carton,272.1,Bolsas_caninas
MAYO,Basura,14,MORATALAZ,31.78,Mueble,260,Envase,5.328,Papel_y_Carton,297,Bolsas_caninas
MAYO,Basura,19,VICÁLVARO,8.12,Mueble,120,Envase,1.332,Papel_y_Carton,210.6,Bolsas_caninas
MAYO,Basura,11,CARABANCHEL,241.184,Mueble,72,Envase,32.347,Papel_y_Carton,483.3,Bolsas_caninas
MAYO,Basura,12,USERA,150.74,Mueble,45,Envase,21.789,Papel_y_Carton,291.9,Bolsas_caninas
MAYO,Basura,17,VILLAVERDE,211.036,Mueble,63,Envase,28.304,Papel_y_Carton,310.4,Bolsas_caninas
JUNIO,Basura,1,CENTRO ,37.6,Mueble,2.9,Envase,13.6,Papel_y_Carton,875,Bolsas_caninas
JUNIO,Basura,6,TETUÁN,93.44,Mueble,160,Envase,6.82,Papel_y_Carton,461,Bolsas_caninas
JUNIO,Basura,7,CHAMBERÍ,32.68,Mueble,440,Envase,3.18,Papel_y_Carton,395.5,Bolsas_caninas
JUNIO,Basura,2,ARGANZUELA,39.02,Mueble,0,Envase,3.24,Papel_y_Carton,359,Bolsas_caninas
JUNIO,Basura,3,RETIRO,12.56,Mueble,0,Envase,4.26,Papel_y_Carton,352,Bolsas_caninas
JUNIO,Basura,4,SALAMANCA,51.72,Mueble,1.04,Envase,1.68,Papel_y_Carton,389.1,Bolsas_caninas
JUNIO,Basura,5,CHAMARTÍN,62.66,Mueble,0,Envase,9.78,Papel_y_Carton,420.2,Bolsas_caninas
JUNIO,Basura,8,FUENCARRAL,123.32,Mueble,260,Envase,30.88,Papel_y_Carton,352.3,Bolsas_caninas
